Strain,Hour,AtoB,GPPS,HMGR,HMGS,Idi,Limonene Synthase,MK,NudB,PMD,PMK,Acetyl-CoA,HMG-CoA,Mevalonate,Mev-P,IPP/DMAPP,Limonene,OD600,GPP,NAD,NADP,Acetate,Pyruvate,citrate,Isopentenol
L1,0.0,4104.5,3967.0,17116.0,7309.5,339361.5,116540.0,9766.0,5413.5,174631.5,39064.5,0.38645899100000003,0.0025624420000000003,0.0037149640000000003,0.0,0.07136374200000001,0.0,1.3255064140000001,0.008239197,0.641765044,0.076969922,0.49641599999999997,0.114880799,0.042704703,
L1,2.0,,,,,,,,,,,,,,,,,,,,,1.0665,0.104988896,,
L1,4.0,742235.5,639639.5,55913.0,123232.25,441357.5,7092259.5,25018.5,24117.0,278568.0,16012.0,0.815274553,0.20315751699999998,0.16136889699999998,0.516691345,0.7210037309999999,0.002417349,2.967,0.051389770999999994,2.462201452,0.18817843,1.2740799999999999,0.64485791,0.129696811,
L1,6.0,,,,,,,,,,,,,,,,,,,,,1.41777,0.694666417,,
L1,8.0,807292.5,621211.0,51120.25,120751.5,497763.0,7457452.0,25522.5,21558.0,328254.5,9807.5,,,0.170784596,0.756921365,1.491663115,0.007933721,3.361,0.121794023,,,1.71107,0.583924695,0.07161530299999999,
L1,10.0,,,,,,,,,,,,,,,,,,,,,2.02838,0.286490017,,
L1,12.0,780345.5,602773.0,45376.0,118744.0,467269.0,6845767.5,26853.0,20080.5,346243.0,9772.5,0.488733408,0.23116012600000002,0.16815381100000001,0.804747598,1.5082187880000002,0.014845661999999999,3.285,0.08955858,2.895685168,0.23692705600000002,2.2549,0.145496975,0.064192815,
L1,16.0,,,,,,,,,,,,,,,,,,,,,2.53372,0.022264033,,
L1,18.0,968542.0,804810.5,54544.25,147543.25,616684.0,8071599.5,33214.0,29762.5,421278.5,9482.0,0.31720957699999996,0.19057414399999997,0.14282339800000002,2.333129585,2.774148752,0.018470844,3.449,0.16276105,2.24147818,0.212470574,2.81957,0.006631881,0.03340531,
L1,20.0,,,,,,,,,,,,,,,,,,,,,2.8113099999999998,0.0071297619999999996,,
L1,24.0,738690.5,639859.0,44253.0,120913.25,442807.5,6637907.5,26846.5,17515.5,334353.0,8015.5,0.238256017,0.189051103,0.180405249,2.2848245990000002,2.556154855,0.017365185,3.426,0.127268825,1.8412082109999999,0.227695394,3.0260700000000003,0.009000045,0.056511507999999995,
L1,36.0,886284.5,635190.0,46218.0,125305.75,512574.5,7654993.0,27892.0,24815.5,398870.5,11565.5,,,0.08945183,0.7438046859999999,1.472126403,0.017365185,3.5839999999999996,0.053026943,,,3.5873699999999995,0.013104109,,
L1,48.0,826610.5,566745.0,43875.25,116906.5,449925.5,6591686.0,27460.5,20198.5,359881.5,8218.0,0.07793903,0.10803095300000001,0.068481971,0.485417408,1.016424684,0.017302859,3.5839999999999996,0.046478254000000004,0.965385003,0.21132998,3.6588300000000005,0.013924468,0.041272128,
L1,72.0,651061.0,468498.5,35763.75,112887.25,437765.0,6084939.5,25586.5,14725.5,355359.0,9285.5,,,0.069763402,0.179994978,0.402491717,0.016883268,3.87,0.017068348,,,3.80366,0.015812881,,
L2,0.0,634025.0,119167.0,243825.75,453634.25,496354.5,508091.5,33322.0,6926.5,111043.0,19435.5,0.286359015,0.007628361,0.892762772,0.046703445,0.173320815,0.0,0.713,0.008239197,0.542593105,0.081441575,0.308866,0.039607157000000004,0.021560634,
L2,2.0,,,,,,,,,,,,,,,,,,,,,0.562589,0.019868675,,
L2,4.0,5847488.5,5867246.0,1388069.5,3218633.25,781230.0,7576393.0,428259.0,17584.5,560021.0,390328.0,0.34183784799999994,0.041512468999999996,2.65148138,0.083405523,0.182425151,0.002552426,2.213,0.051389770999999994,1.585056438,0.494896754,0.583792,0.04965316,0.023301079,
L2,6.0,,,,,,,,,,,,,,,,,,,,,0.46014099999999997,0.001344868,,
L2,8.0,10200000.0,9343760.0,2148291.75,5802429.25,1365395.5,12900000.0,797530.0,29471.0,1460266.0,615462.5,,,3.2870036369999998,0.102936345,0.27152086,0.007849873,3.196,0.121794023,,,0.327002,0.001417386,0.040125699,
L2,10.0,,,,,,,,,,,,,,,,,,,,,0.24144000000000002,0.00014379,,
L2,12.0,10200000.0,7564160.5,1986026.5,5502522.25,1141836.5,10900000.0,828093.0,25649.5,1507277.5,873647.5,0.23886614399999997,0.059232985999999994,4.087342683999999,0.129306488,0.416616508,0.015687963,3.617,0.08955858,1.7790635559999999,0.78782104,0.195258,4.41e-05,0.145917517,
L2,16.0,,,,,,,,,,,,,,,,,,,,,0.169946,0.0,,
L2,18.0,8862928.0,6771955.5,1705475.5,4671715.25,1042258.5,10400000.0,827407.5,20781.0,1656065.0,948688.0,0.185168042,0.039768952,3.3573186610000003,0.17174561600000002,0.476509225,0.02902455,3.767,0.16276105,1.763555611,0.652359182,0.185868,0.0,0.062458502,
L2,20.0,,,,,,,,,,,,,,,,,,,,,0.19431500000000002,0.0,,
L2,24.0,10000000.0,7585512.5,1631822.25,4706973.25,1255643.0,9793156.0,852007.0,26873.5,1709930.5,1106194.5,0.142601589,0.020488833,4.594334921000001,0.26471707,0.523531106,0.033795041,3.8489999999999998,0.127268825,1.524906176,0.389643832,0.212698,0.0,0.11177446,
L2,36.0,9045450.0,7496528.5,1285192.0,3957601.75,1100444.0,9832824.0,776391.0,26256.0,1660417.5,1047256.0,,,5.166682559,0.49247558799999996,0.8826356890000001,0.045727937,3.63,0.053026943,,,0.1343,0.0,,
L2,48.0,8528785.0,8563900.0,1162320.0,3401689.75,986714.0,10400000.0,747271.5,23933.5,1614838.5,1175150.0,0.081545473,0.006855693,4.371739139,0.389230334,0.462744751,0.056035836,3.63,0.046478254000000004,0.957042203,0.107615363,0.40573899999999996,0.005109004,0.326585684,
L2,72.0,7680604.5,9218672.0,1036260.25,2579002.25,835403.0,10700000.0,644173.0,27036.0,1417794.0,1227048.5,,,5.4627205739999996,0.535649943,0.083261593,0.055729367,3.81,0.017068348,,,0.59813,0.116730007,,
L3,0.0,25219.5,148706.0,30645.25,19078.5,162997.0,159975.0,13609.0,2063.0,46155.5,105963.5,0.246535416,0.003096465,0.036669797999999997,0.018218812,0.050344718,0.0,1.3779735709999998,0.014082151000000001,0.6284959379999999,0.056778601,0.568617,0.119580869,0.030870757000000002,
L3,2.0,,,,,,,,,,,,,,,,,,,,,1.02332,0.004637637,,
L3,4.0,621737.5,2021922.5,89467.25,198184.75,1389342.5,5840207.5,417048.5,15764.0,944875.5,294043.5,0.35692433,0.009279363,0.700391572,2.76900295,8.084991415,0.022377361000000002,2.8930000000000002,0.0,2.3523362569999997,0.169019875,1.14858,0.036814989,0.053163138,
L3,6.0,,,,,,,,,,,,,,,,,,,,,1.30417,0.008440297,,
L3,8.0,818790.0,1876792.0,110350.75,256255.75,1678839.5,6709012.5,555678.0,4974.0,1440895.5,375310.5,,,0.848759795,2.7900224639999998,6.970880644,0.052849195,3.4989999999999997,0.0,,,1.40529,0.011202778,0.040149961,
L3,10.0,,,,,,,,,,,,,,,,,,,,,1.40432,0.005433068,,
L3,12.0,875566.5,1578399.0,124484.25,260386.0,1961295.0,7443790.5,715362.5,23680.0,1671952.0,479840.5,0.375530774,0.014750006999999999,0.9451501940000001,1.4903895569999999,5.621033275,0.085682139,3.701,0.0,2.268526494,0.21963120600000002,1.3591,0.004619734,,
L3,16.0,,,,,,,,,,,,,,,,,,,,,1.32132,0.003214472,,
L3,18.0,794345.0,1355287.0,108874.0,241611.75,1981244.5,7639484.0,789934.0,22490.0,1917700.0,521896.0,0.42046279299999995,0.008977964,0.991804474,2.8964970169999997,7.230596048,0.186369591,3.727,0.0,2.808284923,0.303868977,1.27007,0.002582433,0.07042403,
L3,20.0,,,,,,,,,,,,,,,,,,,,,1.2483899999999999,0.0024054429999999997,,
L3,24.0,857162.0,1348690.5,113990.0,258031.75,2081970.0,7903789.0,936026.5,17828.5,2133435.0,583897.5,0.24674338899999998,0.009705154,1.498061352,1.327356096,5.95363388,0.235486355,3.8489999999999998,0.0,2.4874782509999998,0.222971124,1.31036,4.6299999999999994e-05,0.119009249,
L3,36.0,825658.5,1445620.0,114476.25,269871.0,2026212.5,8171338.5,1028950.0,21471.5,2343362.5,654848.5,,,0.9318217529999999,2.192836867,7.7600871289999995,0.370228933,3.53,0.0,,,1.3818,7.35e-05,,
L3,48.0,891883.5,1554353.0,115457.0,271541.75,2135828.5,8290409.5,1084421.0,21818.0,2464271.0,704475.5,0.16331372800000002,0.0,1.213345441,,,0.41078854299999995,3.53,,1.721404486,0.282932636,1.49557,0.0,0.059403724000000005,
L3,72.0,825584.5,1430948.0,102777.25,245270.25,1874325.0,7801155.0,959653.0,17189.0,2391342.0,617310.5,,,1.369914628,9.433808688,10.87102981,0.503866581,3.63,0.0,,,1.6601700000000001,0.000417771,,
